created_at,entry_id,temperature,humidity,moisture_level,,pump action ON/OFF
2018-04-05 16:00:04 UTC,2902,32,40,78,,0
2018-04-05 16:00:04 UTC,2903,32,40,78,,0
2018-04-05 16:00:04 UTC,2904,32,40,78,,0
2018-04-05 16:00:04 UTC,2905,32,40,78,,0
2018-04-05 16:00:04 UTC,2906,32,40,78,,0
2018-04-05 16:00:04 UTC,2907,32,40,78,,0
2018-04-05 16:00:04 UTC,2908,32,40,78,,0
2018-04-05 16:00:04 UTC,2909,32,40,78,,0
2018-04-05 16:00:04 UTC,2910,32,40,78,,0
2018-04-05 16:00:04 UTC,2911,32,40,78,,0
2018-04-05 16:00:04 UTC,2912,32,40,78,,0
2018-04-05 16:00:04 UTC,2913,32,40,78,,0
2018-04-05 16:00:04 UTC,2914,32,40,78,,0
2018-04-05 16:00:04 UTC,2915,32,40,78,,0
2018-04-05 16:00:04 UTC,2916,32,40,78,,0
2018-04-05 16:00:04 UTC,2917,32,40,78,,0
2018-04-05 16:00:04 UTC,2918,32,40,78,,0
2018-04-05 16:00:04 UTC,2919,32,40,78,,0
2018-04-05 16:00:04 UTC,2920,32,40,78,,0
2018-04-05 16:00:04 UTC,2921,32,40,78,,0
2018-04-05 16:00:04 UTC,2922,32,40,78,,0
2018-04-05 16:00:04 UTC,2923,32,40,78,,0
2018-04-05 16:00:04 UTC,2924,32,40,78,,0
2018-04-05 16:00:04 UTC,2925,32,40,78,,0
2018-04-05 16:00:04 UTC,2926,32,40,78,,0
2018-04-05 16:00:04 UTC,2927,32,40,78,,0
2018-04-05 16:00:04 UTC,2928,32,40,78,,0
2018-04-05 16:00:04 UTC,2929,32,40,78,,0
2018-04-05 16:00:04 UTC,2930,32,40,78,,0
2018-04-05 16:00:04 UTC,2931,32,40,78,,0
2018-04-05 16:00:04 UTC,2932,32,40,78,,0
2018-04-05 16:00:04 UTC,2933,32,40,78,,0
2018-04-05 16:00:04 UTC,2934,32,40,78,,0
2018-04-05 16:00:04 UTC,2935,32,40,78,,0
2018-04-05 16:00:04 UTC,2936,32,40,78,,0
2018-04-05 16:00:04 UTC,2937,32,40,78,,0
2018-04-05 16:00:04 UTC,2938,32,40,78,,0
2018-04-05 16:00:04 UTC,2939,32,40,78,,0
2018-04-05 16:00:04 UTC,2940,32,40,78,,0
2018-04-05 16:00:04 UTC,2941,32,40,78,,0
2018-04-05 16:00:04 UTC,2942,32,40,78,,0
2018-04-05 16:00:04 UTC,2943,32,40,78,,0
2018-04-05 16:00:04 UTC,2944,32,40,78,,0
2018-04-05 16:00:04 UTC,2945,32,40,78,,0
2018-04-05 16:00:04 UTC,2946,32,40,78,,0
2018-04-05 16:00:04 UTC,2947,32,40,78,,0
2018-04-05 16:00:04 UTC,2948,32,40,78,,0
2018-04-05 16:00:04 UTC,2949,32,40,78,,0
2018-04-05 16:00:04 UTC,2950,32,40,78,,0
2018-04-05 16:00:04 UTC,2951,32,40,78,,0
2018-04-05 16:00:04 UTC,2952,32,40,78,,0
2018-04-05 16:00:04 UTC,2953,32,40,78,,0
2018-04-05 16:00:04 UTC,2954,32,40,78,,0
2018-04-05 16:00:04 UTC,2955,32,40,78,,0
2018-04-05 16:00:04 UTC,2956,32,40,78,,0
2018-04-05 16:00:04 UTC,2957,32,40,78,,0
2018-04-05 16:00:04 UTC,2958,32,40,78,,0
2018-04-05 16:00:04 UTC,2959,32,40,78,,0
2018-04-05 16:00:04 UTC,2960,32,40,78,,0
2018-04-05 16:00:04 UTC,2961,32,40,78,,0
2018-04-05 16:00:04 UTC,2962,32,40,78,,0
2018-04-05 16:00:04 UTC,2963,32,40,78,,0
2018-04-05 16:00:04 UTC,2964,32,40,78,,0
2018-04-05 16:00:04 UTC,2965,32,40,78,,0
2018-04-05 16:00:04 UTC,2966,32,40,78,,0
2018-04-05 16:00:04 UTC,2967,32,40,78,,0
2018-04-05 16:00:04 UTC,2968,32,40,78,,0
2018-04-05 16:00:04 UTC,2969,32,40,78,,0
2018-04-05 16:00:04 UTC,2970,32,40,78,,0
2018-04-05 16:00:04 UTC,2971,32,40,78,,0
2018-04-05 16:00:04 UTC,2972,32,40,78,,0
2018-04-05 16:00:04 UTC,2973,32,40,78,,0
2018-04-05 16:00:04 UTC,2974,32,40,78,,0
2018-04-05 16:00:04 UTC,2975,32,40,78,,0
2018-04-05 16:00:04 UTC,2976,32,40,78,,0
2018-04-05 16:00:04 UTC,2977,32,40,78,,0
2018-04-05 16:00:04 UTC,2978,32,40,78,,0
2018-04-05 16:00:04 UTC,2979,32,40,78,,0
2018-04-05 16:00:04 UTC,2980,32,40,78,,0
2018-04-05 16:00:04 UTC,2981,32,40,78,,0
2018-04-05 16:00:04 UTC,2982,32,40,78,,0
2018-04-05 16:00:04 UTC,2983,32,40,78,,0
2018-04-05 16:00:04 UTC,2984,32,40,78,,0
2018-04-05 16:00:04 UTC,2985,32,40,78,,0
2018-04-05 16:00:04 UTC,2986,32,40,78,,0
2018-04-05 16:00:04 UTC,2987,32,40,78,,0
2018-04-05 16:00:04 UTC,2988,32,40,78,,0
2018-04-05 16:00:04 UTC,2989,32,40,78,,0
2018-04-05 16:00:04 UTC,2990,32,40,78,,0
2018-04-05 16:00:04 UTC,2991,32,40,78,,0
2018-04-05 16:00:04 UTC,2992,32,40,78,,0
2018-04-05 16:00:04 UTC,2993,32,40,78,,0
2018-04-05 16:00:04 UTC,2994,32,40,78,,0
2018-04-05 16:00:04 UTC,2995,32,40,78,,0
2018-04-05 16:00:04 UTC,2996,32,40,78,,0
2018-04-05 16:00:04 UTC,2997,32,40,78,,0
2018-04-05 16:00:04 UTC,2998,32,40,78,,0
2018-04-05 16:00:04 UTC,2999,32,40,78,,0
2018-04-05 16:00:04 UTC,3000,32,40,78,,0
2018-04-05 16:00:04 UTC,3001,32,40,78,,0
2018-04-05 16:00:04 UTC,3002,32,40,78,,0
2018-04-05 16:00:04 UTC,3003,32,40,78,,0
2018-04-05 16:00:04 UTC,3004,32,40,78,,0
2018-04-05 16:00:04 UTC,3005,32,40,78,,0
2018-04-05 16:00:04 UTC,3006,32,40,78,,0
2018-04-05 16:00:04 UTC,3007,32,40,78,,0
2018-04-05 16:00:04 UTC,3008,32,40,78,,0
2018-04-05 16:00:04 UTC,3009,32,40,78,,0
2018-04-05 16:00:04 UTC,3010,32,40,78,,0
2018-04-05 16:00:04 UTC,3011,32,40,78,,0
2018-04-05 16:00:04 UTC,3012,32,40,78,,0
2018-04-05 16:00:04 UTC,3013,32,40,78,,0
2018-04-05 16:00:04 UTC,3014,32,40,78,,0
2018-04-05 16:00:04 UTC,3015,32,40,78,,0
2018-04-05 16:00:04 UTC,3016,32,40,78,,0
2018-04-05 16:00:04 UTC,3017,32,40,78,,0
2018-04-05 16:00:04 UTC,3018,32,40,78,,0
2018-04-05 16:00:04 UTC,3019,32,40,78,,0
2018-04-05 16:00:04 UTC,3020,32,40,78,,0
2018-04-05 16:00:04 UTC,3021,32,40,78,,0
2018-04-05 16:00:04 UTC,3022,32,40,78,,0
2018-04-05 16:00:04 UTC,3023,32,40,78,,0
2018-04-05 16:00:04 UTC,3024,32,40,78,,0
2018-04-05 16:00:04 UTC,3025,32,40,78,,0
2018-04-05 16:00:04 UTC,3026,32,40,78,,0
2018-04-05 16:00:04 UTC,3027,32,40,78,,0
2018-04-05 16:00:04 UTC,3028,32,40,78,,0
2018-04-05 16:00:04 UTC,3029,32,40,78,,0
2018-04-05 16:00:04 UTC,3030,32,40,78,,0
2018-04-05 16:00:04 UTC,3031,32,40,78,,0
2018-04-05 16:00:04 UTC,3032,32,40,78,,0
2018-04-05 16:00:04 UTC,3033,32,40,78,,0
2018-04-05 16:00:04 UTC,3034,32,40,78,,0
2018-04-05 16:00:04 UTC,3035,32,40,78,,0
2018-04-05 16:00:04 UTC,3036,32,40,78,,0
2018-04-05 16:00:04 UTC,3037,32,40,78,,0
2018-04-05 16:00:04 UTC,3038,32,40,78,,0
2018-04-05 16:00:04 UTC,3039,32,40,78,,0
2018-04-05 16:00:04 UTC,3040,32,40,78,,0
2018-04-05 16:00:04 UTC,3041,32,40,78,,0
2018-04-05 16:00:04 UTC,3042,32,40,78,,0
2018-04-05 16:00:04 UTC,3043,32,40,78,,0
2018-04-05 16:00:04 UTC,3044,32,40,78,,0
2018-04-05 16:00:04 UTC,3045,32,40,78,,0
2018-04-05 16:00:04 UTC,3046,32,40,62,,1
2018-04-05 16:00:04 UTC,3047,32,40,62,,1
2018-04-05 16:00:04 UTC,3048,32,40,62,,1
2018-04-05 16:00:04 UTC,3049,32,40,62,,1
2018-04-05 16:00:04 UTC,3050,32,40,62,,1
2018-04-05 16:00:04 UTC,3051,32,40,62,,1
2018-04-05 16:00:04 UTC,3052,32,40,62,,1
2018-04-05 16:00:04 UTC,3053,32,40,62,,1
2018-04-05 16:00:04 UTC,3054,32,40,62,,1
2018-04-05 16:00:04 UTC,3055,32,40,62,,1
2018-04-05 16:00:04 UTC,3056,32,40,62,,1
2018-04-05 16:00:04 UTC,3057,32,40,62,,1
2018-04-05 16:00:04 UTC,3058,32,40,62,,1
2018-04-05 16:00:04 UTC,3059,32,40,62,,1
2018-04-05 16:00:04 UTC,3060,32,40,62,,1
2018-04-05 16:00:04 UTC,3061,32,40,62,,1
2018-04-05 16:00:04 UTC,3062,32,40,62,,1
2018-04-05 16:00:04 UTC,3063,32,40,62,,1
2018-04-05 16:00:04 UTC,3064,32,40,62,,1
2018-04-05 16:00:04 UTC,3065,32,40,62,,1
2018-04-05 16:00:04 UTC,3066,32,40,62,,1
2018-04-05 16:00:04 UTC,3067,32,40,62,,1
2018-04-05 16:00:04 UTC,3068,32,40,62,,1
2018-04-05 16:00:04 UTC,3069,32,40,62,,1
2018-04-05 16:00:04 UTC,3070,32,40,62,,1
2018-04-05 16:00:04 UTC,3071,32,40,62,,1
2018-04-05 16:00:04 UTC,3072,32,40,62,,1
2018-04-05 16:00:04 UTC,3073,32,40,62,,1
2018-04-05 16:00:04 UTC,3074,32,40,62,,1
2018-04-05 16:00:04 UTC,3075,32,40,62,,1
2018-04-05 16:00:04 UTC,3076,32,40,62,,1
2018-04-05 16:00:04 UTC,3077,32,40,62,,1
2018-04-05 16:00:04 UTC,3078,32,40,62,,1
2018-04-05 16:00:04 UTC,3079,32,40,62,,1
2018-04-05 16:00:04 UTC,3080,32,40,62,,1
2018-04-05 16:00:04 UTC,3081,32,40,62,,1
2018-04-05 16:00:04 UTC,3082,32,40,62,,1
2018-04-05 16:00:04 UTC,3083,32,40,62,,1
2018-04-05 16:00:04 UTC,3084,32,40,62,,1
2018-04-05 16:00:04 UTC,3085,32,40,62,,1
2018-04-05 16:00:04 UTC,3086,32,40,62,,1
2018-04-05 16:00:04 UTC,3087,32,40,62,,1
2018-04-05 16:00:04 UTC,3088,32,40,62,,1
2018-04-05 16:00:04 UTC,3089,32,40,62,,1
2018-04-05 16:00:04 UTC,3090,32,40,62,,1
2018-04-05 16:00:04 UTC,3091,32,40,62,,1
2018-04-05 16:00:04 UTC,3092,32,40,62,,1
2018-04-05 16:00:04 UTC,3093,32,40,62,,1
2018-04-05 16:00:04 UTC,3094,32,40,62,,1
2018-04-05 16:00:04 UTC,3095,32,40,62,,1
2018-04-05 16:00:04 UTC,3096,32,40,62,,1
2018-04-05 16:00:04 UTC,3097,32,40,62,,1
2018-04-05 16:00:04 UTC,3098,32,40,62,,1
2018-04-05 16:00:04 UTC,3099,32,40,62,,1
2018-04-05 16:00:04 UTC,3100,32,40,62,,1
2018-04-05 16:00:04 UTC,3101,32,40,62,,1
2018-04-05 16:00:04 UTC,3102,32,40,62,,1
2018-04-05 16:00:04 UTC,3103,32,40,62,,1
2018-04-05 16:00:04 UTC,3104,32,40,62,,1
2018-04-05 16:00:04 UTC,3105,32,40,62,,1
2018-04-05 16:00:04 UTC,3106,32,40,62,,1
2018-04-05 16:00:04 UTC,3107,32,40,62,,1
2018-04-05 16:00:04 UTC,3108,32,40,62,,1
2018-04-05 16:00:04 UTC,3109,32,40,62,,1
2018-04-05 16:00:04 UTC,3110,32,40,62,,1
2018-04-05 16:00:04 UTC,3111,32,40,62,,1
2018-04-05 16:00:04 UTC,3112,32,40,62,,1
2018-04-05 16:00:04 UTC,3113,32,40,62,,1
2018-04-05 16:00:04 UTC,3114,32,40,62,,1
2018-04-05 16:00:04 UTC,3115,32,40,62,,1
2018-04-05 16:00:04 UTC,3116,32,40,62,,1
2018-04-05 16:00:04 UTC,3117,32,40,62,,1
2018-04-05 16:00:04 UTC,3118,32,40,62,,1
2018-04-05 16:00:04 UTC,3119,32,40,62,,1
2018-04-05 16:00:04 UTC,3120,32,40,62,,1
2018-04-05 16:00:04 UTC,3121,32,40,62,,1
2018-04-05 16:00:04 UTC,3122,32,40,62,,1
2018-04-05 16:00:04 UTC,3123,32,40,62,,1
2018-04-05 16:00:04 UTC,3124,32,40,62,,1
2018-04-05 16:00:04 UTC,3125,32,40,62,,1
2018-04-05 16:00:04 UTC,3126,32,40,62,,1
2018-04-05 16:00:04 UTC,3127,32,40,62,,1
2018-04-05 16:00:04 UTC,3128,32,40,62,,1
2018-04-05 16:00:04 UTC,3129,32,40,62,,1
2018-04-05 16:00:04 UTC,3130,32,40,62,,1
2018-04-05 16:00:04 UTC,3131,32,40,62,,1
2018-04-05 16:00:04 UTC,3132,32,40,62,,1
2018-04-05 16:00:04 UTC,3133,32,40,62,,1
2018-04-05 16:00:04 UTC,3134,32,40,62,,1
2018-04-05 16:00:04 UTC,3135,32,40,62,,1
2018-04-05 16:00:04 UTC,3136,32,40,62,,1
2018-04-05 16:00:04 UTC,3137,32,40,62,,1
2018-04-05 16:00:04 UTC,3138,32,40,62,,1
2018-04-05 16:00:04 UTC,3139,32,40,62,,1
2018-04-05 16:00:04 UTC,3140,32,40,62,,1
2018-04-05 16:00:04 UTC,3141,32,40,62,,1
2018-04-05 16:00:04 UTC,3142,32,40,62,,1
2018-04-05 16:00:04 UTC,3143,32,40,62,,1
2018-04-05 16:00:04 UTC,3144,32,40,62,,1
